DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
21,nan,21.0,11,1912,3.0,12,1912,5.0,3.0,0.0,0.0,13,13,10,3,0,1,2,0,0,0.0,0,4.01,nan,USR,365,21.0,11,1912,3.0,12,1912,0,1,2,nan,0.0,0.0,0,1,1,4.01,1
21,nan,21.0,11,1912,3.0,12,1912,5.0,3.0,0.0,0.0,13,13,10,3,0,1,2,0,0,0.0,0,4.01,nan,AUH,300,21.0,11,1912,3.0,12,1912,1,1,2,nan,0.0,0.0,10,3,1,4.01,1
22,nan,9.0,6,1940,17.0,6,1940,1.0,2.0,nan,nan,9,9,16,4,1,1,1,0,0,0.0,0,4.01,nan,USR,365,9.0,6,1940,17.0,6,1940,1,1,1,nan,nan,nan,16,4,1,4.01,0
22,nan,9.0,6,1940,17.0,6,1940,1.0,2.0,nan,nan,9,9,16,4,1,1,1,0,0,0.0,0,4.01,nan,LAT,367,9.0,6,1940,17.0,6,1940,0,0,0,nan,nan,nan,16,4,1,4.01,0
23,nan,nan,3,1939,18.0,10,1939,4.0,1.0,0.0,0.0,232,202,13,4,0,1,1,0,0,0.0,0,4.01,nan,EST,366,nan,3,1939,18.0,10,1939,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
23,nan,nan,3,1939,18.0,10,1939,4.0,1.0,0.0,0.0,232,202,13,4,0,1,1,0,0,0.0,0,4.01,nan,USR,365,nan,3,1939,18.0,10,1939,1,1,2,nan,0.0,0.0,13,4,1,4.01,0
25,nan,2.0,8,1831,2.0,2,1832,5.0,3.0,nan,nan,185,185,17,4,1,1,3,0,0,0.0,0,4.01,nan,UKG,200,10.0,8,1831,2.0,2,1832,0,0,0,nan,0.0,0.0,7,3,0,4.01,1
25,nan,2.0,8,1831,2.0,2,1832,5.0,3.0,nan,nan,185,185,17,4,1,1,3,0,0,0.0,0,4.01,nan,NTH,210,2.0,8,1831,2.0,2,1832,1,1,1,nan,nan,nan,17,4,1,4.01,1
25,nan,2.0,8,1831,2.0,2,1832,5.0,3.0,nan,nan,185,185,17,4,1,1,3,0,0,0.0,0,4.01,nan,BEL,211,2.0,8,1831,2.0,2,1832,0,0,0,nan,nan,nan,17,4,1,4.01,1
25,nan,2.0,8,1831,2.0,2,1832,5.0,3.0,nan,nan,185,185,17,4,1,1,3,0,0,0.0,0,4.01,nan,FRN,220,10.0,8,1831,15.0,8,1831,0,0,0,nan,nan,nan,16,4,0,4.01,1
26,nan,21.0,3,1948,25.0,7,1949,5.0,3.0,0.0,0.0,492,492,16,4,1,1,3,0,0,0.0,0,4.01,nan,USA,2,21.0,3,1948,25.0,7,1949,0,0,0,nan,0.0,0.0,13,4,1,4.01,1
26,nan,21.0,3,1948,25.0,7,1949,5.0,3.0,0.0,0.0,492,492,16,4,1,1,3,0,0,0.0,0,4.01,nan,UKG,200,21.0,3,1948,25.0,7,1949,0,0,0,nan,0.0,0.0,13,4,1,4.01,1
