,DispNum3,DispNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Outcome,Settle,Fatality,FatalPre,MaxDur,MinDur,HiAct,HostLev,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version
83,149,,18.0,11,1856,26.0,5,1857,6.0,1.0,0.0,0.0,190,190,10,3,1,1,1,0,0,0.0,0,4.01
84,151,,2.0,5,1926,23.0,9,1926,4.0,2.0,0.0,0.0,145,145,14,4,0,1,1,0,0,0.0,0,4.01
85,152,,,12,1896,14.0,6,1898,6.0,1.0,0.0,0.0,561,531,17,4,1,1,1,0,0,0.0,0,4.01
86,153,,22.0,6,1833,10.0,7,1833,4.0,3.0,0.0,0.0,19,19,7,3,0,2,2,0,0,0.0,0,4.01
87,154,,26.0,9,1850,29.0,11,1850,6.0,1.0,,,65,65,17,4,1,1,6,0,0,0.0,0,4.01
88,156,,,2,1906,12.0,5,1906,3.0,3.0,0.0,0.0,101,74,14,4,1,1,1,0,0,0.0,0,4.01
89,157,,7.0,7,1937,7.0,12,1941,9.0,2.0,6.0,,1615,1615,21,5,1,1,1,0,0,0.0,0,4.01
90,158,,21.0,2,1921,9.0,9,1921,4.0,3.0,,,201,201,17,4,1,2,1,0,0,0.0,0,4.01
91,159,,2.0,11,1903,25.0,1,1904,1.0,2.0,0.0,0.0,85,85,13,4,1,1,1,0,0,0.0,0,4.01
92,160,,21.0,3,1838,9.0,3,1839,1.0,2.0,3.0,,354,354,16,4,1,1,1,0,0,0.0,0,4.01
93,164,,31.0,5,1904,28.0,6,1904,7.0,1.0,0.0,0.0,29,29,7,3,0,3,1,0,0,0.0,0,4.01
94,165,,2.0,11,1911,29.0,9,1912,1.0,2.0,,,333,333,17,4,1,1,1,0,0,0.0,0,4.01
95,166,,16.0,4,1908,17.0,6,1908,5.0,3.0,0.0,0.0,63,63,16,4,0,1,1,0,0,0.0,0,4.01
96,167,,10.0,3,1821,8.0,4,1821,1.0,2.0,,,30,30,17,4,1,1,1,0,0,0.0,0,4.01
97,169,,1.0,9,1939,29.0,9,1939,1.0,2.0,,,29,29,16,4,1,1,1,0,0,0.0,0,4.01
98,172,,7.0,1,1962,19.0,12,1962,5.0,3.0,,,347,347,16,4,1,1,2,0,0,0.0,0,4.01
99,173,,22.0,7,1958,19.0,12,1958,5.0,3.0,,,151,151,17,4,1,2,2,0,0,0.0,0,4.01
100,174,,7.0,3,1936,7.0,3,1936,4.0,3.0,0.0,0.0,1,1,7,3,1,1,2,0,0,0.0,0,4.01
101,175,,18.0,2,1849,1.0,7,1849,1.0,2.0,6.0,,134,134,20,5,1,3,1,0,0,0.0,0,4.01
102,177,,15.0,8,1922,11.0,7,1923,6.0,1.0,0.0,0.0,331,331,14,4,0,2,1,0,0,0.0,0,4.01
103,178,,,4,1932,23.0,3,1935,5.0,3.0,,,1087,1058,17,4,1,1,1,0,0,0.0,0,4.01
104,179,,8.0,10,1939,12.0,3,1940,1.0,2.0,6.0,,157,157,20,5,1,1,1,0,0,0.0,0,4.01
105,180,,29.0,6,1903,15.0,9,1905,2.0,1.0,6.0,,810,810,20,5,1,1,2,0,0,0.0,0,4.01
106,182,,8.0,1,1935,31.0,3,1936,3.0,3.0,,,449,449,17,4,1,2,1,0,0,0.0,0,4.01
107,183,,11.0,5,1939,16.0,9,1939,1.0,1.0,6.0,,129,129,20,5,1,2,1,0,0,0.0,0,4.01
108,184,,9.0,7,1938,11.0,8,1938,5.0,1.0,6.0,,34,34,20,5,1,1,1,0,0,0.0,0,4.01
109,185,,17.0,10,1956,21.0,10,1956,2.0,1.0,0.0,0.0,5,5,16,4,1,1,1,0,0,0.0,0,4.01
110,186,,12.0,7,1920,3.0,8,1920,5.0,3.0,0.0,0.0,23,23,1,2,0,1,1,0,0,0.0,0,4.01
111,187,,31.0,10,1876,31.0,1,1878,1.0,1.0,6.0,,458,458,20,5,1,1,1,0,0,0.0,0,4.01
112,189,,,11,1827,14.0,9,1829,1.0,1.0,6.0,,684,655,20,5,1,1,1,0,0,0.0,0,4.01
113,191,,18.0,12,1888,16.0,3,1889,5.0,1.0,0.0,0.0,89,89,17,4,1,1,2,0,0,0.0,0,4.01
114,194,,17.0,4,1863,20.0,7,1864,1.0,2.0,6.0,,461,461,20,5,1,7,2,0,0,0.0,0,4.01
115,196,,4.0,2,1893,3.0,10,1893,1.0,2.0,6.0,,242,242,20,5,1,1,2,0,0,0.0,0,4.01
116,197,,21.0,11,1917,1.0,4,1920,2.0,3.0,,,863,863,17,4,1,5,1,0,0,0.0,0,4.01
117,198,,1.0,9,1848,11.0,9,1848,4.0,2.0,0.0,0.0,11,11,7,3,0,2,1,0,0,0.0,0,4.01
