,DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
46,31,-9.0,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,-9.0,79,79,20,5,1,8,1,0,0,0.0,0,4.01,-9.0,USR,365,30.0,5,1900,16.0,8,1900,1,1,2,-9.0,4.0,-9.0,20,5,1,4.01,0
47,31,-9.0,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,-9.0,79,79,20,5,1,8,1,0,0,0.0,0,4.01,-9.0,JPN,740,30.0,5,1900,16.0,8,1900,1,1,2,-9.0,5.0,-9.0,20,5,1,4.01,0
48,31,-9.0,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,-9.0,79,79,20,5,1,8,1,0,0,0.0,0,4.01,-9.0,CHN,710,30.0,5,1900,16.0,8,1900,0,0,0,-9.0,6.0,-9.0,20,5,1,4.01,0
49,40,-9.0,10.0,4,1928,18.0,11,1928,4.0,1.0,3.0,-9.0,223,223,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,JPN,740,10.0,4,1928,18.0,11,1928,1,0,0,-9.0,1.0,-9.0,14,4,1,4.01,0
50,40,-9.0,10.0,4,1928,18.0,11,1928,4.0,1.0,3.0,-9.0,223,223,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,CHN,710,10.0,4,1928,18.0,11,1928,0,0,0,-9.0,3.0,-9.0,17,4,1,4.01,0
51,43,-9.0,14.0,11,1897,6.0,3,1898,1.0,1.0,0.0,0.0,113,113,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,GMY,255,14.0,11,1897,6.0,3,1898,1,1,2,-9.0,0.0,0.0,17,4,1,4.01,0
52,43,-9.0,14.0,11,1897,6.0,3,1898,1.0,1.0,0.0,0.0,113,113,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,CHN,710,14.0,11,1897,6.0,3,1898,0,0,0,-9.0,0.0,0.0,17,4,1,4.01,0
53,55,-9.0,29.0,8,1923,27.0,9,1923,3.0,1.0,0.0,0.0,30,30,16,4,0,1,1,0,0,0.0,0,4.01,-9.0,GRC,350,29.0,8,1923,27.0,9,1923,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
54,55,-9.0,29.0,8,1923,27.0,9,1923,3.0,1.0,0.0,0.0,30,30,16,4,0,1,1,0,0,0.0,0,4.01,-9.0,ITA,325,29.0,8,1923,27.0,9,1923,1,1,1,-9.0,0.0,0.0,16,4,1,4.01,0
55,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,TUR,640,15.0,2,1897,15.0,8,1897,0,0,0,-9.0,-9.0,-9.0,0,1,1,4.01,0
56,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,GRC,350,15.0,2,1897,15.0,8,1897,0,0,0,-9.0,-9.0,-9.0,0,1,1,4.01,0
57,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,FRN,220,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,-9.0,-9.0,16,4,1,4.01,0
58,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,GMY,255,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,0.0,0.0,16,4,1,4.01,0
59,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,AUH,300,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,0.0,0.0,16,4,1,4.01,0
60,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,ITA,325,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,0.0,0.0,16,4,1,4.01,0
61,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,UKG,200,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,0.0,0.0,16,4,1,4.01,0
62,56,-9.0,15.0,2,1897,15.0,8,1897,4.0,2.0,-9.0,-9.0,182,182,16,4,0,6,2,0,0,0.0,0,4.01,-9.0,USR,365,15.0,2,1897,15.0,8,1897,1,1,2,-9.0,0.0,0.0,16,4,1,4.01,0
63,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,AUH,300,20.0,4,1854,30.0,3,1856,0,0,0,-9.0,0.0,0.0,7,3,0,4.01,0
64,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,USR,365,31.0,5,1853,30.0,3,1856,1,1,2,-9.0,6.0,-9.0,20,5,1,4.01,0
65,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,ITA,325,10.0,1,1855,30.0,3,1856,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
66,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,TUR,640,31.0,5,1853,30.0,3,1856,0,0,0,-9.0,6.0,-9.0,20,5,1,4.01,0
67,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,UKG,200,13.0,6,1853,30.0,3,1856,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
68,57,-9.0,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,-9.0,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01,-9.0,FRN,220,13.0,6,1853,30.0,3,1856,0,0,0,-9.0,6.0,-9.0,20,5,0,4.01,0
69,61,-9.0,28.0,1,1962,12.0,12,1962,4.0,1.0,0.0,0.0,319,319,16,4,1,1,2,0,0,0.0,0,4.01,-9.0,USA,2,28.0,1,1962,12.0,12,1962,1,1,3,-9.0,0.0,0.0,13,4,1,4.01,0
70,61,-9.0,28.0,1,1962,12.0,12,1962,4.0,1.0,0.0,0.0,319,319,16,4,1,1,2,0,0,0.0,0,4.01,-9.0,USR,365,28.0,1,1962,12.0,12,1962,0,0,0,-9.0,0.0,0.0,16,4,1,4.01,0
71,61,-9.0,28.0,1,1962,12.0,12,1962,4.0,1.0,0.0,0.0,319,319,16,4,1,1,2,0,0,0.0,0,4.01,-9.0,CUB,40,28.0,1,1962,12.0,12,1962,0,0,0,-9.0,0.0,0.0,16,4,1,4.01,0
