,DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
3573,3042,,UKG,200,10.0,7,1984,24.0,10,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3574,3042,,IRN,630,10.0,7,1984,24.0,10,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3575,3043,,CYP,352,4.0,7,1984,17.0,4,1985,0,0,0,,0.0,0.0,0,1,1,4.01
3576,3043,,IRQ,645,4.0,7,1984,17.0,4,1985,1,1,2,,0.0,0.0,16,4,1,4.01
3577,3044,,ALG,615,15.0,6,1984,15.0,6,1984,0,0,0,,0.0,0.0,17,4,1,4.01
3578,3044,,MOR,600,15.0,6,1984,15.0,6,1984,1,0,0,,1.0,,17,4,1,4.01
3579,3045,,TUR,640,3.0,6,1984,3.0,6,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3580,3045,,IRQ,645,3.0,6,1984,3.0,6,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3581,3046,,LBR,450,25.0,5,1984,16.0,7,1985,0,0,0,,0.0,0.0,0,1,1,4.01
3582,3046,,IRQ,645,25.0,5,1984,16.0,7,1985,1,1,2,,0.0,0.0,16,4,1,4.01
3583,3048,,IRN,630,26.0,4,1984,5.0,7,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3584,3048,,SAU,670,26.0,4,1984,5.0,7,1984,0,0,0,,0.0,0.0,16,4,1,4.01
3585,3049,,PAN,95,19.0,4,1984,28.0,8,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3586,3049,,IRQ,645,19.0,4,1984,28.0,8,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3587,3050,,PNG,910,27.0,3,1984,9.0,11,1984,0,0,0,,0.0,0.0,7,3,1,4.01
3588,3050,,INS,850,27.0,3,1984,9.0,11,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3589,3051,,SUD,625,8.0,3,1984,31.0,3,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3590,3051,,USA,2,19.0,3,1984,19.0,3,1984,0,0,0,,0.0,0.0,1,2,0,4.01
3591,3051,,EGY,651,8.0,3,1984,19.0,3,1984,0,0,0,,0.0,0.0,8,3,1,4.01
3592,3051,,LIB,620,8.0,3,1984,31.0,3,1984,1,1,3,,0.0,0.0,16,4,1,4.01
3593,3052,,UKG,200,8.0,3,1984,8.0,3,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3594,3052,,IRQ,645,8.0,3,1984,8.0,3,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3595,3053,,IND,750,5.0,3,1984,5.0,3,1984,0,0,0,,0.0,0.0,0,1,1,4.01
3596,3053,,IRQ,645,5.0,3,1984,5.0,3,1984,1,1,2,,0.0,0.0,16,4,1,4.01
3597,3054,,SAU,670,28.0,12,1983,16.0,1,1984,1,0,0,,,,17,4,1,4.01
3598,3054,,YPR,680,28.0,12,1983,16.0,1,1984,0,0,0,,,,17,4,1,4.01
